ticker,bloomberg_ticker,yahoo
000080 KS,000080 KS,000080.KS
000100 KS,000100 KS,000100.KS
000120 KS,000120 KS,000120.KS
000150 KS,000150 KS,000150.KS
000210 KS,000210 KS,000210.KS
000270 KS,000270 KS,000270.KS
000370 KS,000370 KS,000370.KS
000660 KS,000660 KS,000660.KS
000720 KS,000720 KS,000720.KS
000810 KS,000810 KS,000810.KS
000880 KS,000880 KS,000880.KS
000990 KS,000990 KS,000990.KS
001040 KS,001040 KS,001040.KS
001060 KS,001060 KS,001060.KS
001120 KS,001120 KS,001120.KS
001430 KS,001430 KS,001430.KS
001450 KS,001450 KS,001450.KS
001740 KS,001740 KS,001740.KS
002790 KS,002790 KS,002790.KS
003230 KS,003230 KS,003230.KS
003490 KS,003490 KS,003490.KS
003550 KS,003550 KS,003550.KS
003690 KS,003690 KS,003690.KS
004000 KS,004000 KS,004000.KS
004020 KS,004020 KS,004020.KS
004170 KS,004170 KS,004170.KS
004370 KS,004370 KS,004370.KS
004990 KS,004990 KS,004990.KS
005300 KS,005300 KS,005300.KS
005380 KS,005380 KS,005380.KS
005490 KS,005490 KS,005490.KS
005830 KS,005830 KS,005830.KS
005850 KS,005850 KS,005850.KS
005880 KS,005880 KS,005880.KS
005930 KS,005930 KS,005930.KS
005940 KS,005940 KS,005940.KS
006260 KS,006260 KS,006260.KS
006280 KS,006280 KS,006280.KS
006360 KS,006360 KS,006360.KS
006400 KS,006400 KS,006400.KS
006650 KS,006650 KS,006650.KS
006800 KS,006800 KS,006800.KS
007070 KS,007070 KS,007070.KS
007660 KS,007660 KS,007660.KS
009150 KS,009150 KS,009150.KS
009240 KS,009240 KS,009240.KS
009420 KS,009420 KS,009420.KS
009540 KS,009540 KS,009540.KS
009830 KS,009830 KS,009830.KS
010060 KS,010060 KS,010060.KS
010120 KS,010120 KS,010120.KS
010130 KS,010130 KS,010130.KS
010140 KS,010140 KS,010140.KS
010620 KS,010620 KS,010620.KS
010950 KS,010950 KS,010950.KS
011070 KS,011070 KS,011070.KS
011170 KS,011170 KS,011170.KS
011200 KS,011200 KS,011200.KS
011210 KS,011210 KS,011210.KS
011760 KS,011760 KS,011760.KS
011780 KS,011780 KS,011780.KS
012330 KS,012330 KS,012330.KS
012450 KS,012450 KS,012450.KS
012510 KS,012510 KS,012510.KS
012750 KS,012750 KS,012750.KS
013030 KS,013030 KS,013030.KQ
014620 KS,014620 KS,014620.KQ
014680 KS,014680 KS,014680.KS
014830 KS,014830 KS,014830.KS
015760 KS,015760 KS,015760.KS
016360 KS,016360 KS,016360.KS
017960 KS,017960 KS,017960.KS
018260 KS,018260 KS,018260.KS
018670 KS,018670 KS,018670.KS
018880 KS,018880 KS,018880.KS
020150 KS,020150 KS,020150.KS
021240 KS,021240 KS,021240.KS
023160 KS,023160 KS,023160.KQ
023530 KS,023530 KS,023530.KS
024110 KS,024110 KS,024110.KS
028050 KS,028050 KS,028050.KS
028260 KS,028260 KS,028260.KS
028670 KS,028670 KS,028670.KS
029780 KS,029780 KS,029780.KS
030000 KS,030000 KS,030000.KS
032640 KS,032640 KS,032640.KS
032830 KS,032830 KS,032830.KS
033240 KS,033240 KS,033240.KS
033500 KS,033500 KS,033500.KQ
033780 KS,033780 KS,033780.KS
034020 KS,034020 KS,034020.KS
034220 KS,034220 KS,034220.KS
034230 KS,034230 KS,034230.KQ
034730 KS,034730 KS,034730.KS
035250 KS,035250 KS,035250.KS
035420 KS,035420 KS,035420.KS
035720 KS,035720 KS,035720.KS
035760 KS,035760 KS,035760.KQ
035900 KS,035900 KS,035900.KQ
036460 KS,036460 KS,036460.KS
036570 KS,036570 KS,036570.KS
039130 KS,039130 KS,039130.KS
039440 KS,039440 KS,039440.KQ
039490 KS,039490 KS,039490.KS
041510 KS,041510 KS,041510.KQ
042660 KS,042660 KS,042660.KS
042670 KS,042670 KS,042670.KS
042700 KS,042700 KS,042700.KS
047040 KS,047040 KS,047040.KS
047050 KS,047050 KS,047050.KS
047810 KS,047810 KS,047810.KS
051600 KS,051600 KS,051600.KS
051900 KS,051900 KS,051900.KS
051910 KS,051910 KS,051910.KS
052690 KS,052690 KS,052690.KS
055550 KS,055550 KS,055550.KS
056190 KS,056190 KS,056190.KQ
058470 KS,058470 KS,058470.KQ
060250 KS,060250 KS,060250.KQ
060720 KS,060720 KS,060720.KQ
064350 KS,064350 KS,064350.KS
