ticker,sector,industry
SVW.AX,Industrials,Conglomerates
WAF.AX,Basic Materials,Gold
LRS.AX,Basic Materials,Other Industrial Metals & Mining
AZJ.AX,Industrials,Railroads
NXT.AX,Technology,Information Technology Services
DDR.AX,Technology,Electronics & Computer Distribution
TWE.AX,Consumer Defensive,Beverages - Wineries & Distilleries
SGR.AX,Consumer Cyclical,Resorts & Casinos
CKF.AX,Consumer Cyclical,Restaurants
BGA.AX,Consumer Defensive,Packaged Foods
QUB.AX,Industrials,Integrated Freight & Logistics
SDR.AX,Consumer Cyclical,Travel Services
VNT.AX,Industrials,Infrastructure Operations
APM.AX,Industrials,Staffing & Employment Services
LLL.AX,Basic Materials,Other Industrial Metals & Mining
TLC.AX,Consumer Cyclical,Gambling
MMS.AX,Industrials,Staffing & Employment Services
AX1.AX,Consumer Cyclical,Apparel Retail
SUL.AX,Consumer Cyclical,Specialty Retail
STX.AX,Energy,Oil & Gas E&P
KAR.AX,Energy,Oil & Gas E&P
NCK.AX,Consumer Cyclical,Specialty Retail
PRU.AX,Basic Materials,Gold
REA.AX,Communication Services,Internet Content & Information
LLC.AX,Real Estate,Real Estate - Diversified
JIN.AX,Consumer Cyclical,Gambling
JBH.AX,Consumer Cyclical,Specialty Retail
AMP.AX,Financial Services,Financial Conglomerates
QAN.AX,Industrials,Airlines
CDA.AX,Technology,Scientific & Technical Instruments
RED.AX,Basic Materials,Gold
ILU.AX,Basic Materials,Other Industrial Metals & Mining
WOW.AX,Consumer Defensive,Grocery Stores
LYC.AX,Basic Materials,Other Industrial Metals & Mining
ASX.AX,Financial Services,Financial Data & Stock Exchanges
PNV.AX,Healthcare,Medical Devices
ORG.AX,Energy,Oil & Gas Integrated
CBA.AX,Financial Services,Banks - Diversified
BLD.AX,Basic Materials,Building Materials
ORI.AX,Basic Materials,Specialty Chemicals
IMD.AX,Industrials,Farm & Heavy Construction Machinery
DOW.AX,Industrials,Engineering & Construction
ARB.AX,Consumer Cyclical,Auto Parts
NUF.AX,Basic Materials,Agricultural Inputs
HLS.AX,Healthcare,Diagnostics & Research
CPU.AX,Financial Services,Capital Markets
CSL.AX,Healthcare,Biotechnology
SUN.AX,Financial Services,Insurance - Property & Casualty
RMS.AX,Basic Materials,Gold
MND.AX,Industrials,Engineering & Construction
REH.AX,Industrials,Industrial Distribution
SFR.AX,Basic Materials,Copper
WES.AX,Consumer Cyclical,Home Improvement Retail
AWC.AX,Basic Materials,Aluminum
FMG.AX,Basic Materials,Other Industrial Metals & Mining
TLS.AX,Communication Services,Telecom Services
BPT.AX,Energy,Oil & Gas E&P
RHC.AX,Healthcare,Medical Care Facilities
IAG.AX,Financial Services,Insurance - Property & Casualty
PME.AX,Healthcare,Health Information Services
APE.AX,Consumer Cyclical,Auto & Truck Dealerships
IRE.AX,Technology,Software - Application
TNE.AX,Technology,Software - Application
WOR.AX,Energy,Oil & Gas Equipment & Services
IPL.AX,Basic Materials,Specialty Chemicals
NHC.AX,Energy,Thermal Coal
PPT.AX,Financial Services,Asset Management
CTD.AX,Consumer Cyclical,Travel Services
SHL.AX,Healthcare,Diagnostics & Research
WEB.AX,Consumer Cyclical,Travel Services
BOQ.AX,Financial Services,Banks - Regional
LIC.AX,Real Estate,Real Estate - Diversified
APA.AX,Utilities,Utilities - Regulated Gas
CCP.AX,Financial Services,Credit Services
BKW.AX,Basic Materials,Building Materials
ELD.AX,Consumer Defensive,Farm Products
GUD.AX,Consumer Cyclical,Auto Parts
BEN.AX,Financial Services,Banks - Regional
DTL.AX,Technology,Information Technology Services
GNC.AX,Consumer Defensive,Farm Products
BRG.AX,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
ALD.AX,Energy,Oil & Gas Refining & Marketing
ALQ.AX,Industrials,Consulting Services
ALU.AX,Technology,Software - Application
TCL.AX,Industrials,Infrastructure Operations
COH.AX,Healthcare,Medical Devices
ALL.AX,Consumer Cyclical,Gambling
PDN.AX,Energy,Uranium
PMV.AX,Consumer Cyclical,Apparel Retail
RSG.AX,Basic Materials,Gold
JHX.AX,Basic Materials,Building Materials
IGO.AX,Basic Materials,Other Industrial Metals & Mining
